Problem - C:\Koba\Science\UCON\Experiments-with-line-search\SparseSystems\Matrices\Kuu.mtx
CPU time: 197748
x[0   ]=218.392              x[1775]=351.704              x[3550]=67.2444              x[5325]=253.875              
x[41  ]=294.882              x[1816]=150.406              x[3591]=137.876              x[5366]=27.1307              
x[42  ]=125                  x[1817]=351.322              x[3592]=55.5609              x[5367]=206.283              
x[43  ]=293.487              x[1818]=150.506              x[3593]=136.647              x[5368]=36.9121              
x[44  ]=124.127              x[1819]=352.155              x[3594]=53.1465              x[5369]=206.998              
x[45  ]=292.094              x[1820]=150.704              x[3595]=135.332              x[5370]=45.6763              
x[46  ]=123.496              x[1821]=353.106              x[3596]=50.3958              x[5371]=207.597              
x[47  ]=290.833              x[1822]=150.877              x[3597]=134.081              x[5372]=53.4961              
x[48  ]=123.101              x[1823]=354.114              x[3598]=47.203               x[5373]=208.152              
x[49  ]=289.719              x[1824]=151.154              x[3599]=132.909              x[5374]=60.1916              
x[50  ]=122.643              x[1825]=355.229              x[3600]=43.1889              x[5375]=208.613              
x[51  ]=288.585              x[1826]=151.55               x[3601]=131.738              x[5376]=66.1239              
x[52  ]=122.37               x[1827]=356.457              x[3602]=38.4845              x[5377]=209.142              
x[53  ]=287.563              x[1828]=151.941              x[3603]=130.733              x[5378]=71.3641              
x[54  ]=122.285              x[1829]=357.732              x[3604]=32.9053              x[5379]=209.752              
x[55  ]=286.666              x[1830]=152.456              x[3605]=129.915              x[5380]=75.7301              
x[56  ]=122.09               x[1831]=359.102              x[3606]=25.9871              x[5381]=210.34               
x[57  ]=285.732              x[1832]=153.108              x[3607]=129.201              x[5382]=79.5772              
x[58  ]=122.039              x[1833]=360.569              x[3608]=17.7891              x[5383]=211.033              
x[59  ]=284.891              x[1834]=153.774              x[3609]=128.712              x[5384]=82.9657              
x[60  ]=122.136              x[1835]=362.063              x[3610]=8.07391              x[5385]=211.813              
x[61  ]=284.16               x[1836]=154.579              x[3611]=128.391              x[5386]=85.699               
x[62  ]=122.087              x[1837]=363.627              x[3612]=-3.64259             x[5387]=212.558              
x[63  ]=283.374              x[1838]=155.535              x[3613]=128.034              x[5388]=88.1141              
x[64  ]=122.148              x[1839]=365.256              x[3614]=-17.2759             x[5389]=213.383              
x[65  ]=282.668              x[1840]=156.516              x[3615]=127.612              x[5390]=90.2518              
x[66  ]=122.324              x[1841]=366.876              x[3616]=-33.1072             x[5391]=214.263              
x[67  ]=282.057              x[1842]=157.644              x[3617]=126.89               x[5392]=91.8953              
x[68  ]=122.323              x[1843]=368.523              x[3618]=199.001              x[5393]=215.077              
x[69  ]=281.38               x[1844]=158.928              x[3619]=225.99               x[5394]=93.3625              
x[70  ]=122.401              x[1845]=370.187              x[3620]=180.658              x[5395]=215.939              
x[71  ]=280.77               x[1846]=160.237              x[3621]=222.022              x[5396]=94.6762              
x[72  ]=122.564              x[1847]=371.787              x[3622]=164.342              x[5397]=216.829              
x[73  ]=280.244              x[1848]=161.691              x[3623]=217.513              x[5398]=95.6038              
x[74  ]=122.518              x[1849]=373.351              x[3624]=150.002              x[5399]=217.629              
x[75  ]=279.641              x[1850]=163.292              x[3625]=212.774              x[5400]=96.4489              
x[76  ]=122.519              x[1851]=374.863              x[3626]=137.273              x[5401]=218.459              
x[77  ]=279.097              x[1852]=164.905              x[3627]=207.867              x[5402]=97.2225              
x[78  ]=122.572              x[1853]=376.236              x[3628]=126.439              x[5403]=219.302              
x[79  ]=278.629              x[1854]=166.645              x[3629]=203.244              x[5404]=97.681               
x[80  ]=122.38               x[1855]=377.495              x[3630]=117.376              x[5405]=220.044              
x[81  ]=278.076              x[1856]=168.512              x[3631]=199.072              x[5406]=98.1194              
x[82  ]=122.198              x[1857]=378.617              x[3632]=109.568              x[5407]=220.809              
x[83  ]=277.575              x[1858]=170.367              x[3633]=195.239              x[5408]=98.5409              
x[84  ]=122.027              x[1859]=379.514              x[3634]=103.177              x[5409]=221.584              
x[85  ]=277.145              x[1860]=172.322              x[3635]=191.975              x[5410]=98.6956              
x[86  ]=121.568              x[1861]=380.207              x[3636]=98.0087              x[5411]=222.257              
x[87  ]=276.627              x[1862]=174.377              x[3637]=189.258              x[5412]=98.8731              
x[88  ]=121.07               x[1863]=380.674              x[3638]=93.5285              x[5413]=222.953              
x[89  ]=276.158              x[1864]=176.393              x[3639]=186.838              x[5414]=99.0722              
x[90  ]=120.53               x[1865]=380.825              x[3640]=89.9289              x[5415]=223.662              
x[91  ]=275.759              x[1866]=178.483              x[3641]=184.86               x[5416]=99.0393              
x[92  ]=119.645              x[1867]=380.684              x[3642]=87.0761              x[5417]=224.273              
x[93  ]=275.271              x[1868]=180.649              x[3643]=183.264              x[5418]=99.0608              
x[94  ]=118.658              x[1869]=380.229              x[3644]=84.5047              x[5419]=224.913              
x[95  ]=274.835              x[1870]=182.752              x[3645]=181.79               x[5420]=99.1331              
x[96  ]=117.559              x[1871]=379.368              x[3646]=82.4767              x[5421]=225.573              
x[97  ]=274.471              x[1872]=184.921              x[3647]=180.597              x[5422]=99.0006              
x[98  ]=116.038              x[1873]=378.119              x[3648]=80.9187              x[5423]=226.142              
x[99  ]=274.022              x[1874]=187.189              x[3649]=179.644              x[5424]=98.9484              
x[100 ]=114.332              x[1875]=376.486              x[3650]=79.4179              x[5425]=226.749              
x[101 ]=273.628              x[1876]=75.0662              x[3651]=178.693              x[5426]=98.9716              
x[102 ]=112.423              x[1877]=328.224              x[3652]=78.2785              x[5427]=227.385              
x[103 ]=273.31               x[1878]=81.9906              x[3653]=177.921              x[5428]=98.8142              
x[104 ]=109.995              x[1879]=330.792              x[3654]=77.4607              x[5429]=227.939              
x[105 ]=272.909              x[1880]=88.5329              x[3655]=177.306              x[5430]=98.7609              
x[106 ]=107.276              x[1881]=333.024              x[3656]=76.5798              x[5431]=228.542              
x[107 ]=272.561              x[1882]=94.6711              x[3657]=176.624              x[5432]=98.8072              
x[108 ]=104.245              x[1883]=334.913              x[3658]=75.961               x[5433]=229.184              
x[109 ]=272.283              x[1884]=100.291              x[3659]=176.067              x[5434]=98.6975              
x[110 ]=100.579              x[1885]=336.441              x[3660]=75.5819              x[5435]=229.757              
x[111 ]=271.909              x[1886]=105.537              x[3661]=175.621              x[5436]=98.7177              
x[112 ]=96.5048              x[1887]=337.699              x[3662]=75.0713              x[5437]=230.391              
x[113 ]=271.567              x[1888]=110.418              x[3663]=175.072              x[5438]=98.8649              
x[114 ]=91.999               x[1889]=338.705              x[3664]=74.7656              x[5439]=231.078              
x[115 ]=271.26               x[1890]=114.826              x[3665]=174.616              x[5440]=98.8855              
x[116 ]=86.7415              x[1891]=339.438              x[3666]=74.6509              x[5441]=231.71               
x[117 ]=270.811              x[1892]=118.905              x[3667]=174.247              x[5442]=99.0682              
x[118 ]=80.9638              x[1893]=339.984              x[3668]=74.3632              x[5443]=232.42               
x[119 ]=270.329              x[1894]=122.66               x[3669]=173.753              x[5444]=99.4134              
x[120 ]=74.6502              x[1895]=340.363              x[3670]=74.2444              x[5445]=233.2                
x[121 ]=269.801              x[1896]=125.984              x[3671]=173.335              x[5446]=99.6715              
x[122 ]=67.4926              x[1897]=340.548              x[3672]=74.2851              x[5447]=233.948              
x[123 ]=269.028              x[1898]=129.023              x[3673]=172.989              x[5448]=100.136              
x[124 ]=59.7394              x[1899]=340.625              x[3674]=74.1253              x[5449]=234.795              
x[125 ]=268.1                x[1900]=131.782              x[3675]=172.505              x[5450]=100.815              
x[126 ]=51.3973              x[1901]=340.61               x[3676]=74.1094              x[5451]=235.74               
x[127 ]=266.984              x[1902]=134.159              x[3677]=172.084              x[5452]=101.464              
x[128 ]=42.201               x[1903]=340.471              x[3678]=74.2308              x[5453]=236.681              
x[129 ]=265.46               x[1904]=136.298              x[3679]=171.725              x[5454]=102.386              
x[130 ]=32.4619              x[1905]=340.289              x[3680]=74.131               x[5455]=237.757              
x[131 ]=263.622              x[1906]=138.21               x[3681]=171.217              x[5456]=103.598              
x[132 ]=22.3782              x[1907]=340.073              x[3682]=74.1561              x[5457]=238.969              
x[133 ]=261.421              x[1908]=139.793              x[3683]=170.765              x[5458]=104.87               
x[134 ]=214.583              x[1909]=339.787              x[3684]=74.3003              x[5459]=240.222              
x[135 ]=345.186              x[1910]=141.193              x[3685]=170.364              x[5460]=106.519              
x[136 ]=207.957              x[1911]=339.505              x[3686]=74.2059              x[5461]=241.659              
x[137 ]=345.73               x[1912]=142.422              x[3687]=169.808              x[5462]=108.575              
x[138 ]=201.387              x[1913]=339.232              x[3688]=74.2194              x[5463]=243.289              
x[139 ]=345.782              x[1914]=143.376              x[3689]=169.297              x[5464]=110.827              
x[140 ]=194.988              x[1915]=338.927              x[3690]=74.3353              x[5465]=245.019              
x[141 ]=345.358              x[1916]=144.204              x[3691]=168.831              x[5466]=113.61               
x[142 ]=188.709              x[1917]=338.659              x[3692]=74.1955              x[5467]=246.998              
x[143 ]=344.452              x[1918]=144.915              x[3693]=168.2                x[5468]=116.977              
x[144 ]=182.712              x[1919]=338.429              x[3694]=74.1463              x[5469]=249.232              
x[145 ]=343.172              x[1920]=145.404              x[3695]=167.608              x[5470]=120.733              
x[146 ]=177.053              x[1921]=338.192              x[3696]=74.1812              x[5471]=251.627              
x[147 ]=341.596              x[1922]=145.818              x[3697]=167.051              x[5472]=125.231              
x[148 ]=171.639              x[1923]=338.015              x[3698]=73.9414              x[5473]=254.319              
x[149 ]=339.732              x[1924]=146.165              x[3699]=166.321              x[5474]=130.533              
x[150 ]=166.607              x[1925]=337.896              x[3700]=73.7717              x[5475]=257.293              
x[151 ]=337.686              x[1926]=146.337              x[3701]=165.622              x[5476]=136.449              
x[152 ]=161.985              x[1927]=337.788              x[3702]=73.664               x[5477]=260.423              
x[153 ]=335.527              x[1928]=146.479              x[3703]=164.951              x[5478]=143.32               
x[154 ]=157.656              x[1929]=337.757              x[3704]=73.2574              x[5479]=263.796              
x[155 ]=333.25               x[1930]=146.596              x[3705]=164.101              x[5480]=151.186              
x[156 ]=153.736              x[1931]=337.798              x[3706]=72.894               x[5481]=267.338              
x[157 ]=330.942              x[1932]=146.579              x[3707]=163.274              x[5482]=159.821              
x[158 ]=150.232              x[1933]=337.864              x[3708]=72.5624              x[5483]=270.852              
x[159 ]=328.655              x[1934]=146.57               x[3709]=162.469              x[5484]=169.52               
x[160 ]=147.009              x[1935]=338.019              x[3710]=71.8979              x[5485]=274.346              
x[161 ]=326.364              x[1936]=146.571              x[3711]=161.48               x[5486]=180.273              
x[162 ]=144.167              x[1937]=338.259              x[3712]=71.2376              x[5487]=277.666              
x[163 ]=324.137              x[1938]=146.473              x[3713]=160.511              x[5488]=191.803              
x[164 ]=141.699              x[1939]=338.534              x[3714]=70.5643              x[5489]=280.539              
x[165 ]=322.006              x[1940]=146.415              x[3715]=159.563              x[5490]=204.376              
x[166 ]=139.461              x[1941]=338.909              x[3716]=69.5059              x[5491]=282.904              
x[167 ]=319.929              x[1942]=146.397              x[3717]=158.432              x[5492]=217.877              
x[168 ]=137.543              x[1943]=339.377              x[3718]=68.3902              x[5493]=284.535              
x[169 ]=317.959              x[1944]=146.31               x[3719]=157.328              x[5494]=-15.7036             
x[170 ]=135.935              x[1945]=339.89               x[3720]=67.1886              x[5495]=188.074              
x[171 ]=316.112              x[1946]=146.291              x[3721]=156.254              x[5496]=-1.5442              
x[172 ]=134.489              x[1947]=340.511              x[3722]=65.5147              x[5497]=189.746              
x[173 ]=314.337              x[1948]=146.341              x[3723]=155.013              x[5498]=11.2601              
x[174 ]=133.295              x[1949]=341.233              x[3724]=63.6783              x[5499]=191.008              
x[175 ]=312.677              x[1950]=146.348              x[3725]=153.821              x[5500]=22.7486              
x[176 ]=132.345              x[1951]=342.006              x[3726]=61.628               x[5501]=191.999              
x[177 ]=311.142              x[1952]=146.451              x[3727]=152.692              x[5502]=32.6806              
x[178 ]=131.491              x[1953]=342.893              x[3728]=58.9495              x[5503]=192.612              
x[179 ]=309.673              x[1954]=146.651              x[3729]=151.44               x[5504]=41.5142              
x[180 ]=130.827              x[1955]=343.886              x[3730]=55.9166              x[5505]=193.17               
x[181 ]=308.311              x[1956]=146.835              x[3731]=150.291              x[5506]=49.3555              
x[182 ]=130.348              x[1957]=344.933              x[3732]=52.4352              x[5507]=193.753              
x[183 ]=307.062              x[1958]=147.143              x[3733]=149.273              x[5508]=55.9573              
x[184 ]=129.91               x[1959]=346.095              x[3734]=48.0397              x[5509]=194.217              
x[185 ]=305.868              x[1960]=147.574              x[3735]=148.21               x[5510]=61.7743              
x[186 ]=129.611              x[1961]=347.363              x[3736]=42.9453              x[5511]=194.8                
x[187 ]=304.765              x[1962]=148.019              x[3737]=147.333              x[5512]=66.907               
x[188 ]=129.449              x[1963]=348.682              x[3738]=36.996               x[5513]=195.521              
x[189 ]=303.762              x[1964]=148.615              x[3739]=146.66               x[5514]=71.0989              
x[190 ]=129.285              x[1965]=350.109              x[3740]=29.6677              x[5515]=196.18               
x[191 ]=302.797              x[1966]=149.362              x[3741]=145.99               x[5516]=74.7907              
x[192 ]=129.218              x[1967]=351.632              x[3742]=21.1291              x[5517]=196.974              
x[193 ]=301.91               x[1968]=150.151              x[3743]=145.5                x[5518]=78.0631              
x[194 ]=129.249              x[1969]=353.193              x[3744]=11.1957              x[5519]=197.895              
x[195 ]=301.108              x[1970]=151.117              x[3745]=145.131              x[5520]=80.6365              
x[196 ]=129.241              x[1971]=354.844              x[3746]=-0.662612            x[5521]=198.722              
x[197 ]=300.332              x[1972]=152.26               x[3747]=144.564              x[5522]=82.9258              
x[198 ]=129.296              x[1973]=356.567              x[3748]=-14.2656             x[5523]=199.646              
x[199 ]=299.619              x[1974]=153.466              x[3749]=143.895              x[5524]=84.9857              
x[200 ]=129.416              x[1975]=358.297              x[3750]=-29.7055             x[5525]=200.656              
x[201 ]=298.979              x[1976]=154.87               x[3751]=142.954              x[5526]=86.5119              
x[202 ]=129.465              x[1977]=360.08               x[3752]=205.638              x[5527]=201.532              
x[203 ]=298.353              x[1978]=156.467              x[3753]=242.253              x[5528]=87.8968              
x[204 ]=129.544              x[1979]=361.892              x[3754]=188.634              x[5529]=202.472              
x[205 ]=297.779              x[1980]=158.14               x[3755]=239.046              x[5530]=89.1753              
x[206 ]=129.656              x[1981]=363.658              x[3756]=173.202              x[5531]=203.467              
x[207 ]=297.267              x[1982]=160.018              x[3757]=235.158              x[5532]=90.0254              
x[208 ]=129.664              x[1983]=365.418              x[3758]=159.453              x[5533]=204.305              
x[209 ]=296.757              x[1984]=162.09               x[3759]=230.902              x[5534]=90.8248              
x[210 ]=129.669              x[1985]=367.137              x[3760]=147.099              x[5535]=205.187              
x[211 ]=296.292              x[1986]=164.232              x[3761]=226.411              x[5536]=91.5959              
x[212 ]=129.672              x[1987]=368.735              x[3762]=136.37               x[5537]=206.11               
x[213 ]=295.879              x[1988]=166.568              x[3763]=222.016              x[5538]=92.0059              
x[214 ]=129.534              x[1989]=370.242              x[3764]=127.201              x[5539]=206.868              
x[215 ]=295.461              x[1990]=169.08               x[3765]=217.897              x[5540]=92.4239              
x[216 ]=129.353              x[1991]=371.618              x[3766]=119.209              x[5541]=207.664              
x[217 ]=295.08               x[1992]=171.639              x[3767]=214.046              x[5542]=92.8648              
x[218 ]=129.129              x[1993]=372.776              x[3768]=112.519              x[5543]=208.498              
x[219 ]=294.746              x[1994]=174.363              x[3769]=210.63               x[5544]=92.9897              
x[220 ]=128.718              x[1995]=373.744              x[3770]=106.995              x[5545]=209.167              
x[221 ]=294.401              x[1996]=177.233              x[3771]=207.674              x[5546]=93.1625              
x[222 ]=128.216              x[1997]=374.478              x[3772]=102.21               x[5547]=209.876              
x[223 ]=294.089              x[1998]=180.116              x[3773]=205.037              x[5548]=93.3938              
x[224 ]=127.616              x[1999]=374.895              x[3774]=98.2901              x[5549]=210.627              
x[225 ]=293.819              x[2000]=183.134              x[3775]=202.793              x[5550]=93.3414              
x[226 ]=126.773              x[2001]=375.023              x[3776]=95.1236              x[5551]=211.217              
x[227 ]=293.535              x[2002]=186.271              x[3777]=200.912              x[5552]=93.3663              
x[228 ]=125.775              x[2003]=374.825              x[3778]=92.3255              x[5553]=211.853              
x[229 ]=293.281              x[2004]=189.401              x[3779]=199.224              x[5554]=93.4768              
x[230 ]=124.613              x[2005]=374.217              x[3780]=90.0705              x[5555]=212.539              
x[231 ]=293.066              x[2006]=192.631              x[3781]=197.796              x[5556]=93.3288              
x[232 ]=123.134              x[2007]=373.226              x[3782]=88.2962              x[5557]=213.072              
x[233 ]=292.834              x[2008]=195.895              x[3783]=196.605              x[5558]=93.282               
x[234 ]=121.423              x[2009]=371.818              x[3784]=86.6626              x[5559]=213.659              
x[235 ]=292.627              x[2010]=61.5528              x[3785]=195.492              x[5560]=93.3437              
x[236 ]=119.464              x[2011]=314.022              x[3786]=85.3827              x[5561]=214.305              
x[237 ]=292.452              x[2012]=69.2935              x[3787]=194.542              x[5562]=93.1693              
x[238 ]=117.102              x[2013]=316.505              x[3788]=84.4265              x[5563]=214.807              
x[239 ]=292.251              x[2014]=76.6415              x[3789]=193.742              x[5564]=93.1182              
x[240 ]=114.416              x[2015]=318.648              x[3790]=83.4814              x[5565]=215.374              
x[241 ]=292.058              x[2016]=83.5712              x[3791]=192.95               x[5566]=93.1981              
x[242 ]=111.389              x[2017]=320.51               x[3792]=82.7823              x[5567]=216.009              
x[243 ]=291.878              x[2018]=89.8827              x[3793]=192.26               x[5568]=93.0647              
x[244 ]=107.862              x[2019]=321.997              x[3794]=82.317               x[5569]=216.511              
x[245 ]=291.643              x[2020]=95.7974              x[3795]=191.672              x[5570]=93.0786              
x[246 ]=103.917              x[2021]=323.238              x[3796]=81.7875              x[5571]=217.09               
x[247 ]=291.38               x[2022]=101.326              x[3797]=191.049              x[5572]=93.2489              
x[248 ]=99.5369              x[2023]=324.257              x[3798]=81.4403              x[5573]=217.751              
x[249 ]=291.08               x[2024]=106.28               x[3799]=190.495              x[5574]=93.2334              
x[250 ]=94.5686              x[2025]=324.977              x[3800]=81.2727              x[5575]=218.292              
x[251 ]=290.665              x[2026]=110.875              x[3801]=190.013              x[5576]=93.3949              
x[252 ]=89.0994              x[2027]=325.537              x[3802]=80.9947              x[5577]=218.926              
x[253 ]=290.148              x[2028]=115.126              x[3803]=189.473              x[5578]=93.746               
x[254 ]=83.1213              x[2029]=325.965              x[3804]=80.8587              x[5579]=219.657              
x[255 ]=289.506              x[2030]=118.843              x[3805]=188.98               x[5580]=93.9481              
x[256 ]=76.4924              x[2031]=326.182              x[3806]=80.8674              x[5581]=220.289              
x[257 ]=288.644              x[2032]=122.25               x[3807]=188.542              x[5582]=94.3691              
x[258 ]=69.3148              x[2033]=326.324              x[3808]=80.7346              x[5583]=221.035              
x[259 ]=287.56               x[2034]=125.363              x[3809]=188.031              x[5584]=95.0273              
x[260 ]=61.5993              x[2035]=326.41               x[3810]=80.7163              x[5585]=221.905              
x[261 ]=286.219              x[2036]=127.999              x[3811]=187.552              x[5586]=95.5912              
x[262 ]=53.2232              x[2037]=326.356              x[3812]=80.8177              x[5587]=222.703              
x[263 ]=284.515              x[2038]=130.383              x[3813]=187.117              x[5588]=96.4375              
x[264 ]=44.3206              x[2039]=326.29               x[3814]=80.7548              x[5589]=223.649              
x[265 ]=282.444              x[2040]=132.534              x[3815]=186.596              x[5590]=97.5945              
x[266 ]=34.9357              x[2041]=326.224              x[3816]=80.7851              x[5591]=224.757              
x[267 ]=280.03               x[2042]=134.273              x[3817]=186.099              x[5592]=98.743               
x[268 ]=209.883              x[2043]=326.065              x[3818]=80.9149              x[5593]=225.839              
x[269 ]=356.146              x[2044]=135.825              x[3819]=185.634              x[5594]=100.274              
x[270 ]=204.232              x[2045]=325.935              x[3820]=80.8612              x[5595]=227.121              
x[271 ]=356.968              x[2046]=137.21               x[3821]=185.074              x[5596]=102.234              
x[272 ]=198.817              x[2047]=325.842              x[3822]=80.882               x[5597]=228.625              
x[273 ]=357.395              x[2048]=138.248              x[3823]=184.529              x[5598]=104.323              
x[274 ]=193.588              x[2049]=325.686              x[3824]=80.9836              x[5599]=230.171              
x[275 ]=357.398              x[2050]=139.164              x[3825]=184.007              x[5600]=106.955              
x[276 ]=188.425              x[2051]=325.585              x[3826]=80.883               x[5601]=231.99               
x[277 ]=356.947              x[2052]=139.976              x[3827]=183.382              x[5602]=110.2                
x[278 ]=183.483              x[2053]=325.542              x[3828]=80.8375              x[5603]=234.11               
x[279 ]=356.147              x[2054]=140.5                x[3829]=182.763              x[5604]=113.786              
x[280 ]=178.778              x[2055]=325.455              x[3830]=80.8529              x[5605]=236.354              
x[281 ]=355.033              x[2056]=140.96               x[3831]=182.159              x[5606]=118.152              
x[282 ]=174.216              x[2057]=325.44               x[3832]=80.6447              x[5607]=238.948              
x[283 ]=353.604              x[2058]=141.37               x[3833]=181.444              x[5608]=123.389              
x[284 ]=169.948              x[2059]=325.497              x[3834]=80.4692              x[5609]=241.904              
x[285 ]=351.971              x[2060]=141.546              x[3835]=180.726              x[5610]=129.242              
x[286 ]=165.983              x[2061]=325.524              x[3836]=80.3299              x[5611]=245.016              
x[287 ]=350.173              x[2062]=141.706              x[3837]=180.018              x[5612]=136.149              
x[288 ]=162.211              x[2063]=325.634              x[3838]=79.9402              x[5613]=248.465              
x[289 ]=348.205              x[2064]=141.863              x[3839]=179.191              x[5614]=144.19               
x[290 ]=158.771              x[2065]=325.827              x[3840]=79.5531              x[5615]=252.197              
x[291 ]=346.17               x[2066]=141.828              x[3841]=178.356              x[5616]=153.075              
x[292 ]=155.656              x[2067]=326.001              x[3842]=79.1689              x[5617]=255.926              
x[293 ]=344.097              x[2068]=141.818              x[3843]=177.525              x[5618]=163.196              
x[294 ]=152.744              x[2069]=326.268              x[3844]=78.4965              x[5619]=259.734              
x[295 ]=341.966              x[2070]=141.844              x[3845]=176.573              x[5620]=174.573              
x[296 ]=150.16               x[2071]=326.628              x[3846]=77.7834              x[5621]=263.473              
x[297 ]=339.868              x[2072]=141.713              x[3847]=175.613              x[5622]=186.857              
x[298 ]=147.885              x[2073]=326.979              x[3848]=77.0234              x[5623]=266.745              
x[299 ]=337.816              x[2074]=141.643              x[3849]=174.658              x[5624]=200.38               
x[300 ]=145.788              x[2075]=327.432              x[3850]=75.9175              x[5625]=269.592              
x[301 ]=335.777              x[2076]=141.641              x[3851]=173.586              x[5626]=215.19               
x[302 ]=143.984              x[2077]=327.988              x[3852]=74.7032              x[5627]=271.811              
x[303 ]=333.828              x[2078]=141.516              x[3853]=172.515              x[5628]=-21.1434             
x[304 ]=142.45               x[2079]=328.544              x[3854]=73.362               x[5629]=173.311              
x[305 ]=331.969              x[2080]=141.481              x[3855]=171.463              x[5630]=-6.32473             
x[306 ]=141.046              x[2081]=329.212              x[3856]=71.5802              x[5631]=174.895              
x[307 ]=330.157              x[2082]=141.545              x[3857]=170.315              x[5632]=6.82105              
x[308 ]=139.889              x[2083]=329.993              x[3858]=69.5766              x[5633]=176.01               
x[309 ]=328.459              x[2084]=141.517              x[3859]=169.194              x[5634]=18.5056              
x[310 ]=138.95               x[2085]=330.782              x[3860]=67.3101              x[5635]=176.846              
x[311 ]=326.868              x[2086]=141.609              x[3861]=168.13               x[5636]=28.5658              
x[312 ]=138.091              x[2087]=331.692              x[3862]=64.4397              x[5637]=177.416              
x[313 ]=325.332              x[2088]=141.833              x[3863]=167.013              x[5638]=37.3944              
x[314 ]=137.429              x[2089]=332.722              x[3864]=61.1511              x[5639]=177.939              
x[315 ]=323.915              x[2090]=141.994              x[3865]=165.979              x[5640]=45.1314              
x[316 ]=136.936              x[2091]=333.767              x[3866]=57.3649              x[5641]=178.507              
x[317 ]=322.603              x[2092]=142.31               x[3867]=165.061              x[5642]=51.6262              
x[318 ]=136.477              x[2093]=334.939              x[3868]=52.697               x[5643]=179.05               
x[319 ]=321.344              x[2094]=142.791              x[3869]=164.157              x[5644]=57.267               
x[320 ]=136.169              x[2095]=336.236              x[3870]=47.2869              x[5645]=179.707              
x[321 ]=320.196              x[2096]=143.244              x[3871]=163.392              x[5646]=62.1847              
x[322 ]=135.987              x[2097]=337.552              x[3872]=41.0105              x[5647]=180.501              
